Year,Quarter,FirstDay,Event,Type,Location,State,OriginalCost,NormCost2011,NormCost2014
2010,1,2010-03-22,Perth Storm,Storm,Perth,Western Australia,1053,1019,1092.515
2010,1,2010-03-06,Melbourne Storm,Storm,Melbourne,Victoria,1044,1160,1243.687
2010,1,2010-03-05,West QLD flooding,Flood,QLD,Queensland,46.7,49,52.535
2009,4,2009-12-31,Toodyay Bushfires,Bushfire,Toodyay WA,Western Australia,7.4,8,8.577
2009,2,2009-05-21,"Inundation , Storm Damage",Storm,"South East Queensland , Northern NSW",New South Wales,48,55,58.968
2009,2,2009-04-10,Flooding,Flood,Northern NSW,New South Wales,37,40,42.886
2009,1,2009-02-07,Victorian fires,Other,VIC,Victoria,1070,1266,1357.335
2009,1,2009-01-13,Floods,Flood,Far North Queensland,Queensland,19,22,23.587
2008,4,2008-11-16,Brisbane storms,Storm,Brisbane,Queensland,309,355,380.611
2008,2,2008-06-03,"Gas Supply Disruption Varanus Isl,",Other,Western Australia,Western Australia,230,279,299.128
2008,2,2008-04-20,Wind Storm,Storm,"SA, TAS , VIC","SA, TAS, VIC",65,79,84.699
2008,1,2008-02-14,Flood Storm,"Flood, Storm",Mackay,Queensland,410,507,543.577
2008,1,2008-01-17,Flood Storms,"Flood, Storm",Emerald,Queensland,70,85,91.132
2008,1,2008-01-04,Flood Storm,"Flood, Storm",Northern Rivers,New South Wales,15,17,18.226
2007,4,2007-12-09,Severe Hailstorms,Hailstorm,"Western Sydney, Blacktown",New South Wales,415,486,521.062
2007,4,2007-10-26,Severe Storms,Storm,Lismore Region,New South Wales,4,5,5.361
2007,2,2007-06-08,Severe Storm,Storm,"Newcastle , Hunter Valley",New South Wales,1480,1742,1867.675
2007,4,2007-10-09,Hail Storm,Hailstorm,Lismore Region,New South Wales,97,109,116.864
2007,2,2007-06-16,Severe Storm,Storm,Gippsland VIC,Victoria,15,18,19.299
2007,1,2007-03-08,"Cyclone George , Jacob",Cyclone,"George , Jacob - Pilbara WA",Western Australia,8,12,12.866
2007,1,2007-01-16,Severe Storm,Storm,Wagga Wagga NSW,New South Wales,4,5,5.361
2007,1,2007-01-15,Severe Storm,Storm,Nyngan NSW,New South Wales,2,2,2.144
2006,4,2006-10-31,Hail,Hailstorm,"Newcastle , Lower Hunter Valley",New South Wales,51,60,64.329
2006,3,2006-08-07,Storm,Storm,South West WA,Western Australia,5.2,9,9.649
2006,1,2006-03-20,Cyclone Larry,Cyclone,Larry - North QLD,Queensland,540,609,652.936
2006,1,2006-02-01,Bushfire,Bushfire,Widespread,Widespread,14,16,17.154
2006,1,2006-01-20,Bushfire,Bushfire,"North, West , East VIC","North, West ,VIC",22.4,28,30.02
2005,4,2005-12-15,Storm,Storm,Hunter Valley,New South Wales,10,36,38.597
2005,4,2005-11-07,"Flood, Storm","Flood, Storm",Central West NSW,New South Wales,3,4,4.289
2005,4,2005-11-06,"Flood, Storm","Flood, Storm",Broken Hill,South Australia,4,5,5.361
2005,4,2005-10-12,Hail,Hailstorm,Gold Coast,Queensland,61,89,95.421
2005,2,2005-06-30,"Flood, Storm","Flood, Storm",SE QLD,Queensland,53.9,93,99.709
2005,2,2005-06-30,"Flood, Storm","Flood, Storm",NE NSW,New South Wales,25,37,39.669
2005,2,2005-05-19,Hail,Hailstorm,Brisbane,Queensland,17.6,28,30.02
2005,2,2005-05-16,Storm,Storm,"Bunbury, South Perth",Western Australia,53.2,108,115.792
